date,portfolio_value,returns,cummax,drawdown,strategy
2025-07-30,23101.271254488936,-0.003588542004051787,111318.09666228008,-0.7924751505177616,Long Low Volume / Short High Volume
2025-07-31,23059.967177656996,-0.0017879568780836408,111318.09666228008,-0.7928461959997667,Long Low Volume / Short High Volume
2025-08-01,22875.172241626722,-0.008013668649508032,111318.09666228008,-0.7945062579445096,Long Low Volume / Short High Volume
2025-08-02,22917.291325925995,0.0018412575806807663,111318.09666228008,-0.7941278910341676,Long Low Volume / Short High Volume
2025-08-03,22738.225334975636,-0.007813575714673782,111318.09666228008,-0.7957364883451117,Long Low Volume / Short High Volume
2025-08-04,22805.095060528536,0.002940850685037466,111318.09666228008,-0.7951357798569332,Long Low Volume / Short High Volume
2025-08-05,22797.75970263216,-0.0003216543442114972,111318.09666228008,-0.7952016753233158,Long Low Volume / Short High Volume
2025-08-06,22685.36114460386,-0.004930245756354923,111318.09666228008,-0.7962113813944616,Long Low Volume / Short High Volume
2025-08-07,22586.407270314114,-0.004362014501730016,111318.09666228008,-0.7971003103041064,Long Low Volume / Short High Volume
2025-08-08,22676.795308771387,0.0040018776503720765,111318.09666228008,-0.796288330570645,Long Low Volume / Short High Volume
2025-08-09,22592.321770317718,-0.003725109183350672,111318.09666228008,-0.7970471787811919,Long Low Volume / Short High Volume
2025-08-10,22323.0300279699,-0.011919613445910637,111318.09666228008,-0.7994662979578772,Long Low Volume / Short High Volume
2025-08-11,22121.16475280124,-0.009042915541292107,111318.09666228008,-0.8012797072886267,Long Low Volume / Short High Volume
2025-08-12,22328.66820802388,0.009380313267472129,111318.09666228008,-0.7994156486903903,Long Low Volume / Short High Volume
2025-08-13,22458.495340227695,0.005814369714946199,111318.09666228008,-0.7982493771128436,Long Low Volume / Short High Volume
2025-08-14,22128.231194258948,-0.01470553307180722,111318.09666228008,-0.8012162275699684,Long Low Volume / Short High Volume
2025-08-15,22388.955925149065,0.011782447887554559,111318.09666228008,-0.79887406813042,Long Low Volume / Short High Volume
2025-08-16,22467.440923876457,0.0035055229457676695,111318.09666228008,-0.7981690165612622,Long Low Volume / Short High Volume
2025-08-17,22059.837616842142,-0.018141955214897143,111318.09666228008,-0.8018306252237866,Long Low Volume / Short High Volume
2025-08-18,21837.344477469018,-0.010085891983323436,111318.09666228008,-0.8038293401321821,Long Low Volume / Short High Volume
2025-08-19,21946.107901059288,0.004980615830028512,111318.09666228008,-0.8028522894382574,Long Low Volume / Short High Volume
2025-08-20,21787.476657299692,-0.007228217617208488,111318.09666228008,-0.8042773159929321,Long Low Volume / Short High Volume
2025-08-21,21806.57341614485,0.0008765016319023378,111318.09666228008,-0.8041057647409995,Long Low Volume / Short High Volume
2025-08-22,22118.13199728345,0.014287369922499238,111318.09666228008,-0.8013069513361691,Long Low Volume / Short High Volume
2025-08-23,21980.95418164667,-0.006202052490401511,111318.09666228008,-0.8025392560534601,Long Low Volume / Short High Volume
2025-08-24,21841.80143318229,-0.006330605455725391,111318.09666228008,-0.8037893021163796,Long Low Volume / Short High Volume
2025-08-25,21695.772821530434,-0.0066857402810194255,111318.09666228008,-0.805101115882787,Long Low Volume / Short High Volume
2025-08-26,21696.994634172977,5.6315700417419734e-05,111318.09666228008,-0.8050901400156174,Long Low Volume / Short High Volume
2025-08-27,21953.26098647431,0.01181114512042658,111318.09666228008,-0.8027880313739398,Long Low Volume / Short High Volume
2025-08-28,22105.82646052432,0.006949558616553997,111318.09666228008,-0.801417495238087,Long Low Volume / Short High Volume
2025-08-29,21836.091557985663,-0.01220198227016478,111318.09666228008,-0.8038405954403568,Long Low Volume / Short High Volume
2025-08-30,21860.60532499137,0.001122626132090243,111318.09666228008,-0.803620381766743,Long Low Volume / Short High Volume
2025-08-31,21741.705335660892,-0.005439007180398137,111318.09666228008,-0.8046884919203974,Long Low Volume / Short High Volume
2025-09-01,21986.34147673303,0.011251929749543699,111318.09666228008,-0.8024908605522083,Long Low Volume / Short High Volume
2025-09-02,21944.543288928948,-0.0019010979088227575,111318.09666228008,-0.8028663447641858,Long Low Volume / Short High Volume
2025-09-03,21958.89746687952,0.0006541114919358382,111318.09666228008,-0.8027373973748487,Long Low Volume / Short High Volume
2025-09-04,22029.396087428562,0.0032104808839048538,111318.09666228008,-0.8021040895600114,Long Low Volume / Short High Volume
2025-09-05,22183.965574047714,0.007016510393916819,111318.09666228008,-0.8007155508474957,Long Low Volume / Short High Volume
2025-09-06,22098.111525131317,-0.003870094759650833,111318.09666228008,-0.8014868005498407,Long Low Volume / Short High Volume
2025-09-07,22228.09308511764,0.005882021178076791,111318.09666228008,-0.8003191417065472,Long Low Volume / Short High Volume
2025-09-08,22204.017249554658,-0.0010831264504242988,111318.09666228008,-0.8005354213258081,Long Low Volume / Short High Volume
2025-09-09,22289.01041065257,0.00382782809717086,111318.09666228008,-0.7997719052071688,Long Low Volume / Short High Volume
2025-09-10,22370.604965087226,0.003660752672790757,111318.09666228008,-0.799038919673988,Long Low Volume / Short High Volume
2025-09-11,22397.263807129355,0.001191690706788373,111318.09666228008,-0.7987994362221373,Long Low Volume / Short High Volume
2025-09-12,22311.68045117038,-0.0038211522932426467,111318.09666228008,-0.799568254217819,Long Low Volume / Short High Volume
2025-09-13,22339.602172311497,0.0012514396305658426,111318.09666228008,-0.7993174259879235,Long Low Volume / Short High Volume
2025-09-14,22112.96632252788,-0.010145026220051423,111318.09666228008,-0.8013533559631836,Long Low Volume / Short High Volume
2025-09-15,22056.58993731429,-0.002549471852455798,111318.09666228008,-0.8018597999907402,Long Low Volume / Short High Volume
2025-09-16,22144.82129782898,0.004000226724323541,111318.09666228008,-0.8010671942675004,Long Low Volume / Short High Volume
2025-09-17,22135.033533722653,-0.0004419888503361946,111318.09666228008,-0.8011551203496001,Long Low Volume / Short High Volume
2025-09-18,22036.12872016814,-0.004468247739667142,111318.09666228008,-0.8020436085336425,Long Low Volume / Short High Volume
2025-09-19,21904.49625264295,-0.005973484235673121,111318.09666228008,-0.8032260979174175,Long Low Volume / Short High Volume
2025-09-20,21988.77205790887,0.003847420378624289,111318.09666228008,-0.8024690259965637,Long Low Volume / Short High Volume
2025-09-21,21963.20177892575,-0.001162878896364905,111318.09666228008,-0.8026987305976105,Long Low Volume / Short High Volume
2025-09-22,21862.705639550655,-0.004575659796174358,111318.09666228008,-0.8036015140837492,Long Low Volume / Short High Volume
2025-09-23,21940.86828342493,0.0035751587732524293,111318.09666228008,-0.8028993583137722,Long Low Volume / Short High Volume
2025-09-24,21837.218248482637,-0.0047240625850980544,111318.09666228008,-0.803830474080661,Long Low Volume / Short High Volume
2025-09-25,22101.19918960188,0.012088579145724587,111318.09666228008,-0.8014590632406057,Long Low Volume / Short High Volume
2025-09-26,21997.735599238385,-0.004681356404053094,111318.09666228008,-0.8023885041263711,Long Low Volume / Short High Volume
2025-09-27,21899.724873730098,-0.004455491569399617,111318.09666228008,-0.8032689604802524,Long Low Volume / Short High Volume
2025-09-28,21657.391130244534,-0.011065606754551371,111318.09666228008,-0.8054459087999921,Long Low Volume / Short High Volume
2025-09-29,21504.7681235566,-0.007047155669400729,111318.09666228008,-0.8068169617667974,Long Low Volume / Short High Volume
2025-09-30,21507.159395548904,0.00011119729255226751,111318.09666228008,-0.8067954803359788,Long Low Volume / Short High Volume
2025-10-01,21631.051143715482,0.005760488676724851,111318.09666228008,-0.8056825278881622,Long Low Volume / Short High Volume
2025-10-02,21663.356447750117,0.0014934689867820428,111318.09666228008,-0.8053923207699731,Long Low Volume / Short High Volume
2025-10-03,21596.645911972384,-0.003079418276601409,111318.09666228008,-0.8059915992141611,Long Low Volume / Short High Volume
2025-10-04,21495.246586124867,-0.00469514230407897,111318.09666228008,-0.8069024962640374,Long Low Volume / Short High Volume
2025-10-05,21460.229528063668,-0.0016290605423341376,111318.09666228008,-0.807217063788197,Long Low Volume / Short High Volume
2025-10-06,21299.14486228433,-0.007506194915981035,111318.09666228008,-0.8086641300838778,Long Low Volume / Short High Volume
2025-10-07,21415.924736807443,0.00548284333846194,111318.09666228008,-0.8076150654840994,Long Low Volume / Short High Volume
2025-10-08,21445.9420248739,0.0014016339913105469,111318.09666228008,-0.8073454122204659,Long Low Volume / Short High Volume
2025-10-09,21574.121153005835,0.005976847647133798,111318.09666228008,-0.8061939451007862,Long Low Volume / Short High Volume
2025-10-10,21173.61185665711,-0.01856433889048248,111318.09666228008,-0.8097918263829627,Long Low Volume / Short High Volume
2025-10-11,21447.255007938133,0.012923782353882585,111318.09666228008,-0.8073336173452066,Long Low Volume / Short High Volume
2025-10-12,21836.56338818531,0.01815189776514914,111318.09666228008,-0.8038363568644756,Long Low Volume / Short High Volume
2025-10-13,22409.0955807476,0.0262189696420847,111318.09666228008,-0.7986931482602246,Long Low Volume / Short High Volume
2025-10-14,22324.728219023655,-0.0037648713407437695,111318.09666228008,-0.799451042657035,Long Low Volume / Short High Volume
