protocol,slug,symbol,category,chains,tvl,change_1h,change_1d,change_7d,mcap,timestamp
Lighter Bridge,lighter-bridge,-,Bridge,"Ethereum,Arbitrum",1156025440.3559842,-0.08482970328198292,0.8616757695159691,0.9345639349655102,,2025-11-03T01:15:59.406094
SolvBTC,solvbtc,SOLV,Bridge,"Bitcoin,Binance,Ethereum,Arbitrum,Base,Avalanche,Mantle,Polygon,Merlin,BOB",1118441885.0695677,0.2372039248142812,0.9781860098589306,-3.0574998754354823,,2025-11-03T01:15:59.406096
Bitkub,bitkub,KUB,CEX,"Bitcoin,Ripple,Ethereum,Cardano,Solana,Arbitrum,Doge,Binance,Optimism,Avalanche,Tron,Polygon,TON,Algorand,Mantle,Base,Aptos,zkSync Era,CORE,Litecoin,Fantom",1078730379.5196533,0.3800963620751219,0.4695286026711756,-4.584782981916703,125981551.971669,2025-11-03T01:15:59.406097
Korbit,korbit,-,CEX,"Bitcoin,Ripple,Ethereum",1077180797.6281738,0.3010266208626433,0.2640011799389015,-3.4782618908408125,,2025-11-03T01:15:59.406098
Symbiotic,symbiotic,-,Restaking,Ethereum,1057153848.0082949,0.17187986418736045,-0.3240522031079536,3.982168307802354,,2025-11-03T01:15:59.406100
Lista Lending,lista-lending,LISTA,Lending,"Binance,Ethereum",1052897382.4861721,0.21780826037532108,0.3371307391834506,-3.915455073307484,,2025-11-03T01:15:59.406101
ether.fi Liquid,ether.fi-liquid,ETHFI,Onchain Capital Allocator,Ethereum,1000427919.5037792,0.38963676204602393,-0.07657257087572589,-6.860043480039593,,2025-11-03T01:15:59.406102
Convex Finance,convex-finance,CVX,Yield,"Ethereum,Fraxtal,Arbitrum,Polygon",990972400.7360545,0.6293726598050711,0.5580192764917768,-4.663233440772061,179539966.36311033,2025-11-03T01:15:59.406104
mETH Protocol,meth-protocol,COOK,Liquid Staking,Ethereum,972931427.0508016,0.9147050695340369,1.103730903483239,-6.032777128711302,6834892.966327681,2025-11-03T01:15:59.406105
Lista CDP,lista-cdp,LISTA,CDP,Binance,948259213.2791598,0.2893624799606016,-1.2570937962377116,-3.810859724260524,,2025-11-03T01:15:59.406106
Circle USYC,circle-usyc,-,RWA,"Binance,Ethereum,Near,Noble",948148982.969396,0.0,2.842170943040401e-14,17.28602160072387,,2025-11-03T01:15:59.406108
Concrete,concrete,-,Onchain Capital Allocator,"Ethereum,Arbitrum,Berachain,Katana",947773298.6814913,0.014822580974865218,0.016428229572866826,0.37619734625292267,,2025-11-03T01:15:59.406109
Aster Bridge,aster-bridge,-,Bridge,"Binance,Arbitrum,Ethereum,Solana,Scroll",941761445.4340382,0.3212026079140884,7.169399040351749,-5.206132540921487,,2025-11-03T01:15:59.406111
Drift Trade,drift-trade,DRIFT,Derivatives,Solana,936474218.9687238,-0.39335544498001696,-0.019634307984119914,-2.624398833269055,,2025-11-03T01:15:59.406112
Midas RWA,midas-rwa,-,RWA,"Ethereum,XRPL EVM,Plume Mainnet,Plasma,Etherlink,RSK,Base,Katana,Sapphire,0G,Binance",913555179.4561347,0.2271790241338465,0.8575481568108074,-1.5315402044032709,,2025-11-03T01:15:59.406113
Optimism Bridge,optimism-bridge,OP,Canonical Bridge,"Ethereum,Base,PGN",874462081.262601,0.2267343076010775,-0.8202814720835789,-7.144874602948008,,2025-11-03T01:15:59.406115
Tornado Cash,tornado-cash,TORN,Privacy,"Ethereum,Binance,Arbitrum,Avalanche,Polygon,EthereumClassic,xDai,Optimism",870875151.3932058,0.8388528138339524,0.6375353224499491,-5.933111827682083,54192602.10803607,2025-11-03T01:15:59.406116
Uniswap V4,uniswap-v4,UNI,Dexs,"Ethereum,Unichain,Arbitrum,Base,Binance,Polygon,Optimism,World Chain,Soneium,Avalanche,Zora,Blast,Ink",863779465.4656178,0.9689002452861502,1.1939273874723284,-3.2379479895820538,,2025-11-03T01:15:59.406118
Marinade Native,marinade-native,MNDE,Staking Pool,Solana,845845170.3502685,0.9937343751277723,1.0794605129985655,-5.555090644192518,,2025-11-03T01:15:59.406119
Unit,unit,-,Bridge,"Bitcoin,Solana,Ethereum,Plasma",842496988.5233846,0.36140628910415273,-1.6391730431156333,-10.226265856917678,,2025-11-03T01:15:59.406120
M0,m0,POWER,Stablecoin Issuer,Ethereum,832904605.3604655,-0.010353175129623082,-0.00809736119504123,-0.16105682472753813,,2025-11-03T01:15:59.406121
K3 Capital,k3-capital,-,Risk Curators,"Plasma,Avalanche,Arbitrum,Ethereum,Binance,Unichain,BOB",805975306.0161891,0.7984514939191456,0.853736820717458,-5.0256210733375895,,2025-11-03T01:15:59.406123
BingX,bingx,-,CEX,"Bitcoin,Binance,Tron,Ethereum,Solana,TON,Ripple,Arbitrum",804586288.2608595,0.30969327917000555,0.2600560888373451,-0.4785923776617551,,2025-11-03T01:15:59.406124
Avalanche Core Bridge,avalanche-core-bridge,AVAX,Canonical Bridge,"Bitcoin,Ethereum",799612994.7438924,0.23053814685158613,0.2169395315239484,-3.238500543513055,,2025-11-03T01:15:59.406125
Jupiter Lend,jupiter-lend,JUP,Lending,Solana,792060029.967087,-2.865731968135762,-1.7494019068483055,-2.216121577209549,,2025-11-03T01:15:59.406126
Marinade Liquid Staking,marinade-liquid-staking,MNDE,Liquid Staking,Solana,782879640.4592763,0.5030960847204824,0.38080304401985643,-7.753777939603438,,2025-11-03T01:15:59.406128
Mantle Bridge,mantle-bridge,MNT,Canonical Bridge,Ethereum,748978423.489027,-0.007475275855227892,-0.2471722915330048,-1.6895047351709707,4643837267.655403,2025-11-03T01:15:59.406129
Starknet Bridge,starknet-bridge,STRK,Canonical Bridge,Ethereum,741652437.898202,0.2828169231869708,2.204264721708654,-2.225936867976742,535107282.54165715,2025-11-03T01:15:59.406130
Indodax,indodax,-,CEX,"Bitcoin,Ethereum,Solana,Binance,Cardano,Tron,Polygon,Optimism,Stellar,Sui,Litecoin,Base,Arbitrum,Avalanche,Algorand,EOS,Linea",727070396.6744037,0.5894419824485624,-0.12262773951115946,-2.723862883394318,,2025-11-03T01:15:59.406132
Stader,stader,SD,Liquid Staking,"Ethereum,Hedera,Binance,Fantom,Terra2,Near",719442253.3002408,-0.887314437006296,-1.3476844422025778,-6.453628207243284,27563145.08768563,2025-11-03T01:15:59.406133
Merlins Seal,merlins-seal,-,Bridge,"Bitcoin,Ethereum,Arbitrum,Zkfair",712173872.6968132,0.26891695715696073,0.43980978975773155,-2.73550866401348,,2025-11-03T01:15:59.406135
Stables Labs USDX,stables-labs-usdx,USDX,Basis Trading,"Binance,Arbitrum,Ethereum",682311814.2049612,-0.023667392531365294,-0.04922523109931376,0.05853872115646652,683714075.107937,2025-11-03T01:15:59.406136
Axelar Cross Chain,axelar-cross-chain,AXL,Bridge,"Binance,Arbitrum,Ethereum",682311814.2049612,-0.023667392531351084,0.03549510730995564,0.05853872115646652,,2025-11-03T01:15:59.406137
tBTC,tbtc,T,Decentralized BTC,"Bitcoin,Ethereum",668196981.7265327,0.237387936239017,0.29999585744431556,3.6173821249783487,,2025-11-03T01:15:59.406139
World Chain,world-chain,-,Canonical Bridge,Ethereum,657483896.378266,0.49350116421945245,-3.0415349158351432,-11.484559609665524,,2025-11-03T01:15:59.406140
