date,symbol,open,high,low,close,volume
2025-08-29,CLANKER/USDC,46.36,46.51,42.0,42.89,13779.9521
2025-08-29,DIA/USD,0.73583,0.75887,0.7,0.724,898588.09
2025-08-29,DIA/USDC,0.73583,0.75887,0.7,0.724,898588.09
2025-08-29,DOGE/USD,0.2244,0.22532,0.20977,0.21394,296428374.8
2025-08-29,DOGE/USDC,0.2244,0.22532,0.20977,0.21394,296428374.8
2025-08-29,ENA/USD,0.6767,0.6803,0.6292,0.6418,25805092.4
2025-08-29,ENA/USDC,0.6767,0.6803,0.6292,0.6418,25805092.4
2025-08-29,ETH/USD,4511.3,4516.95,4268.0,4360.2,187412.576106
2025-08-29,ETH/USDC,4511.3,4516.95,4268.0,4360.2,187412.576106
2025-08-29,ETH/USDT,4508.06,4516.55,4265.63,4359.94,11200.10317895
2025-08-29,HBAR/USD,0.23921,0.2404,0.22348,0.22798,190786325.5
2025-08-29,HBAR/USDC,0.23921,0.2404,0.22348,0.22798,190786325.5
2025-08-29,LINK/USD,25.184,25.229,23.12,23.426,2636553.28
2025-08-29,LINK/USDC,25.184,25.229,23.12,23.426,2636553.28
2025-08-29,LTC/USD,113.66,113.86,108.61,109.92,125189.2533805
2025-08-29,LTC/USDC,113.66,113.86,108.61,109.92,125189.2533805
2025-08-29,PENGU/USD,0.03044,0.03053,0.02839,0.02932,798514763.0
2025-08-29,PENGU/USDC,0.03044,0.03053,0.02839,0.02932,798514763.0
2025-08-29,PUMP/USD,0.003511,0.003609,0.003238,0.003506,5275871089.0
2025-08-29,PUMP/USDC,0.003511,0.003609,0.003238,0.003506,5275871089.0
2025-08-29,SOL/USD,214.44,217.95,199.86,205.1,3176259.77251642
2025-08-29,SOL/USDC,214.44,217.95,199.86,205.1,3176259.77251642
2025-08-29,SUI/USD,3.4917,3.4982,3.2087,3.2817,20614681.3
2025-08-29,SUI/USDC,3.4917,3.4982,3.2087,3.2817,20614681.3
2025-08-29,TAO/USD,335.8,338.0,314.56,319.65,24258.8617
2025-08-29,TAO/USDC,335.8,338.0,314.56,319.65,24258.8617
2025-08-29,USDT/USD,1.00003,1.00024,0.9999,1.00006,79393581.72
2025-08-29,USELESS/USD,0.2201,0.2266,0.1888,0.2224,11130225.6
2025-08-29,USELESS/USDC,0.2201,0.2266,0.1888,0.2224,11130225.6
2025-08-29,XLM/USD,0.38221,0.382505,0.354627,0.361494,73920780.27711286
2025-08-29,XLM/USDC,0.38221,0.382505,0.354627,0.361494,73920780.27711286
2025-08-29,XRP/USD,2.966,2.9767,2.7735,2.8195,123246834.509313
2025-08-29,XRP/USDC,2.966,2.9767,2.7735,2.8195,123246834.509313
2025-08-29,ZEC/USD,42.49,43.94,40.0,40.0,27281.46289
2025-08-29,ZEC/USDC,42.49,43.94,40.0,40.0,27281.46289
2025-08-29,ZORA/USD,0.08342,0.08345,0.07212,0.07512,158169900.0
