date,portfolio_value,return,n_positions,n_long,n_short,rolling_return_30d
2022-01-14,1.540617300849817,-0.003113851973015431,6,2,4,9.635869893260423
2022-01-15,1.5373526570165577,-0.0021190491833750344,6,2,4,9.324468280998271
2022-01-16,1.5282013771977232,-0.005952622371365183,6,2,4,7.520596630795488
2022-01-17,1.5610621029017397,0.021502876645925793,6,2,4,10.41059130075534
2022-01-18,1.5863738727924588,0.016214454148664997,6,2,4,11.580218757205124
2022-01-19,1.6201311909703198,0.021279547499379024,6,2,4,13.395083322348361
2022-01-20,1.6778225341577275,0.035609056543659055,6,2,4,16.726931074022488
2022-01-21,1.7833620973279387,0.06290269740785931,6,2,4,22.312927791619526
2022-01-22,1.8517754130294133,0.03836198818174956,6,2,4,23.97884438855289
2022-01-23,1.8177871606785496,-0.018354413883949698,6,2,4,25.549935277556184
2022-01-24,1.8706614061196596,0.02908714869642537,6,2,4,27.842689582290213
2022-01-25,1.8825941471100918,0.006378888745657337,6,2,4,26.325016170351507
2022-01-26,1.884936786289436,0.0012443676099494442,6,2,4,26.27930181055682
2022-01-27,1.881980893545137,-0.0015681654503214028,6,2,4,24.925601855618396
2022-01-28,1.8577525306851084,-0.012873862292187763,6,2,4,27.3517939853246
2022-01-29,1.828876088588878,-0.015543750644538903,6,2,4,27.95914293183041
2022-01-30,1.8562400162380714,0.014962155074326074,6,2,4,28.01943929313746
2022-01-31,1.8461392502997587,-0.005441519334758995,6,2,4,25.591467056109252
2022-02-01,1.8177709203047265,-0.01536630023462529,6,2,4,23.350545318023247
2022-02-02,1.8507827097241645,0.01816058836165333,3,1,2,26.811171336158395
2022-02-03,1.734321421273557,-0.06292542492357986,3,1,2,18.15587601308641
2022-02-04,1.772546612368715,0.02204043069887726,3,1,2,16.760206826104348
2022-02-05,1.7734288062780292,0.0004976985672243018,3,1,2,17.035963738247435
2022-02-06,1.7099919129029058,-0.035770758403468744,3,1,2,11.744560013504241
2022-02-07,1.681002773120417,-0.01695279349788055,3,1,2,9.559255257763523
2022-02-08,1.5799996014499242,-0.06008507141424997,3,1,2,3.9567860432988726
2022-02-09,1.695368656147512,0.07301840746777206,3,1,2,10.017262757800758
2022-02-10,1.5718352042660462,-0.0728652446378113,3,1,2,4.490355895745743
2022-02-11,1.58003280975792,0.005215308493934284,3,1,2,6.500807210332284
2022-02-12,1.5658167313646414,-0.008997331134824068,3,1,2,2.854545476310498
2022-02-13,1.4555239502112984,-0.07043786092208922,3,1,2,-3.87785541859688
2022-02-14,1.4672689495045628,0.008069258696539666,3,1,2,-2.8590246306054103
2022-02-15,1.5410735875999415,0.05030068830959693,3,1,2,2.766306437490801
2022-02-16,1.48211350831767,-0.03825909402165255,3,1,2,-3.209890629267033
2022-02-17,1.5165665922184628,0.02324591450482094,3,1,2,-2.5067445936514385
2022-02-18,1.4733200534907325,-0.028516082939996995,3,1,2,-7.48630763758904
2022-02-19,1.44968421183491,-0.016042571062426153,3,1,2,-12.651470398197562
2022-02-20,1.419642774987184,-0.020722745410672296,3,1,2,-21.01401468005072
2022-02-21,1.4050828802706585,-0.010256027060509647,3,1,2,-25.875816204276642
2022-02-22,1.4667782317501494,0.043908692039295795,3,1,2,-19.649505611952094
2022-02-23,1.4340798997666588,-0.022292621526347083,3,1,2,-24.78748263422934
2022-02-24,1.4788583909445308,0.031224544172997377,3,1,2,-22.302917091495335
2022-02-25,1.4260306264919504,-0.035721989864654816,3,1,2,-25.999552838955758
2022-02-26,1.342844380258665,-0.058334123186347335,3,1,2,-31.676148612558354
2022-02-27,1.380256044469441,0.027860014727521667,3,1,2,-27.602760910587413
2022-02-28,1.3669993424416513,-0.009604523798977707,3,1,2,-27.00883822603129
2022-03-01,1.3815136248527957,0.010617622086942573,3,1,2,-27.44329152476964
2022-03-02,1.3309958402800826,-0.03656698252114296,4,1,3,-30.555837843408035
2022-03-03,1.2767548249338267,-0.04075220500677274,4,1,3,-33.09442832062278
2022-03-04,1.310625002920382,0.02652833365114622,4,1,3,-32.2576537916735
2022-03-05,1.3993834184210823,0.06772220528597082,4,1,3,-19.192890770718424
2022-03-06,1.3880525814303897,-0.008097021046224102,4,1,3,-22.206635945228562
2022-03-07,1.34518539726332,-0.030882968513263977,4,1,3,-25.34470265327739
2022-03-08,1.3556719557853947,0.007795623222946684,4,1,3,-20.988064490635843
2022-03-09,1.578743693735212,0.16454698867070902,4,1,3,-2.838086273776888
2022-03-10,1.4764464009705134,-0.06479664379381897,4,1,3,-3.3092435117337877
2022-03-11,1.3611588450533316,-0.07808448436827754,4,1,3,-18.41953269533875
2022-03-12,1.3371926970683843,-0.017607164712659565,4,1,3,-12.893724702823576
2022-03-13,1.2866923837143291,-0.0377659206969723,4,1,3,-17.19184762191423
2022-03-14,1.313324887905035,0.02069842374742692,4,1,3,-14.222272133689135
