date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,expected_funding_daily,daily_return,log_return
2024-09-21,37395.58291410681,3,2,0.5,0.5,2.7755575615628914e-17,1.0,0.030423239165031722,-0.00974157798619335,-0.009789337579335963
2024-09-22,36098.08602361881,4,1,0.5,0.5,-1.3877787807814457e-17,1.0,0.03373960327501594,-0.03469652802225853,-0.03531274834781262
2024-09-23,36240.76324593814,3,0,0.5,0.0,0.5,0.5,0.042112244984684785,0.003952487182450115,0.003944696626288127
2024-09-24,35999.14665091816,4,1,0.5,0.5,-2.0816681711721685e-17,1.0,0.08610519954954488,-0.006666984174155344,-0.006689307789259113
2024-09-25,35282.02680874208,3,2,0.5,0.5,0.0,1.0,0.05978072434438912,-0.019920467813583476,-0.020121555318170264
2024-09-26,35701.477677407405,3,2,0.5,0.5,-1.3877787807814457e-17,1.0,0.04761311621927791,0.01188851397169155,0.011818400737174767
2024-09-27,35455.41599255502,4,2,0.5,0.5,4.163336342344337e-17,1.0,0.028112539598236327,-0.006892198890918744,-0.0069160597929517125
2024-09-28,35461.64580422428,4,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.023467019500428014,0.00017570832254709678,0.000175692887647791
2024-09-29,35927.87592929018,3,1,0.5,0.5,2.7755575615628914e-17,1.0,0.037552835554981526,0.013147447460274408,0.013061769916536648
2024-09-30,35655.61612492927,1,1,0.5,0.5,0.0,1.0,0.03339,-0.00757795436882347,-0.007606812950147854
2024-10-01,36006.110179813935,3,2,0.49999999999999994,0.5,-8.326672684688674e-17,1.0,0.03671160772086978,0.009829981724523096,0.009781981757039418
2024-10-02,36155.385251576874,2,2,0.5,0.5,0.0,1.0,0.04968359073591304,0.004145826111664475,0.004137255853624568
2024-10-03,36669.705587695105,4,1,0.5,0.5,2.7755575615628914e-17,1.0,0.052404401962235614,0.014225276056097247,0.014125046229635023
2024-10-04,36323.936290040496,3,2,0.5,0.5,-6.938893903907228e-17,1.0,0.0876399447827584,-0.009429290257804368,-0.009474027464021317
2024-10-05,36402.40495866469,4,2,0.5,0.5,-6.938893903907228e-17,1.0,0.02849377121114833,0.0021602468410260034,0.0021579168627676635
2024-10-06,36735.67500238672,3,2,0.5,0.5,0.0,1.0,0.0446884330668498,0.009155165547453992,0.00911351106213654
2024-10-07,36986.53525475577,2,1,0.5,0.5,0.0,1.0,0.0694365423517922,0.0068287911506390575,0.00680558056327192
2024-10-08,36584.06222735808,2,1,0.49999999999999994,0.5,-5.551115123125783e-17,1.0,0.046720627546545906,-0.010881609337709985,-0.010941247079613338
2024-10-09,36896.84759316752,1,1,0.5,0.5,0.0,1.0,0.030867085528619997,0.008549771314775745,0.008513429018637652
2024-10-10,37252.35633122338,1,1,0.5,0.5,0.0,1.0,0.12409650000000001,0.009635206291219722,0.009589083721397898
2024-10-11,37418.021812939136,3,2,0.5,0.49999999999999994,6.938893903907228e-17,1.0,0.040288840930060625,0.004447114170249122,0.004437254977192141
2024-10-12,37789.56780106018,4,2,0.5,0.5,-4.85722573273506e-17,1.0,0.026901480681598932,0.009929599965986524,0.009880625419827073
2024-10-13,38103.13466913539,4,1,0.5,0.5,1.3877787807814457e-17,1.0,0.047478656845139806,0.008297709826319277,0.008263473092742637
2024-10-14,37856.37182081025,3,2,0.5,0.5,2.7755575615628914e-17,1.0,0.043972939197356786,-0.0064761823526562345,-0.006497243802693855
2024-10-15,38291.19590704275,2,2,0.5,0.5,5.551115123125783e-17,1.0,0.06300695978705666,0.011486153197424631,0.011420688157197193
