date,portfolio_value,long_exposure,short_exposure,net_exposure,gross_exposure
2023-04-13,7862.612598467701,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2023-04-14,7788.296410423242,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2023-04-15,7768.705081470294,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2023-04-16,7702.359933302915,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2023-04-17,7648.2065931215375,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2023-04-18,7707.000086242346,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2023-04-19,7722.414884517198,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2023-04-20,7784.635786324324,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2023-04-21,7800.4346790502705,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2023-04-22,7826.824272277051,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2023-04-23,7865.312200104748,0.5,0.5,0.0,1.0
