date,portfolio_value,cash,num_positions,num_longs,num_shorts
2025-03-18,8144.8036004322175,0,1,1,0
2025-03-19,8250.212486771296,0,1,1,0
2025-03-20,8221.099556258598,0,1,1,0
2025-03-21,8240.173545215193,0,1,1,0
2025-03-22,8269.286475727891,0,1,1,0
2025-03-23,8446.97574127091,0,1,1,0
2025-03-24,8471.069201005555,0,1,1,0
2025-03-25,8462.034153605064,0,1,1,0
2025-03-26,8450.991317893351,0,1,1,0
2025-03-27,8415.855022446991,0,1,1,0
2025-03-28,8283.340993906435,0,1,1,0
2025-03-29,8189.97883743468,0,1,1,0
2025-03-30,8174.920425100526,0,1,1,0
2025-03-31,8181.947684189798,0,1,1,0
2025-04-01,8306.43055948547,0,1,1,0
2025-04-02,8160.865906921982,0,1,1,0
2025-04-03,8147.815282899049,0,1,1,0
2025-04-04,8193.99441405712,0,1,1,0
2025-04-05,8167.893166011254,0,1,1,0
2025-04-06,8037.386925781919,0,1,1,0
2025-04-07,8074.531009539499,0,1,1,0
2025-04-08,8008.273995269221,0,1,1,0
2025-04-09,8166.8892718556435,0,1,1,0
2025-04-10,8118.70235238635,0,1,1,0
2025-04-11,8310.446136107912,0,1,1,0
2025-04-12,8447.97963542652,0,1,1,0
2025-04-13,8314.461712730354,0,1,1,0
2025-04-14,8336.547384153779,0,1,1,0
2025-04-15,8233.14628612592,0,1,1,0
2025-04-16,8232.142391970312,0,1,1,0
2025-04-17,8236.157968592752,0,1,1,0
2025-04-18,8248.204698460075,0,1,1,0
2025-04-19,8302.41498286303,0,1,1,0
2025-04-20,8288.360464684487,0,1,1,0
2025-04-21,8290.368252995708,0,1,1,0
2025-04-22,8583.505346433907,0,1,1,0
2025-04-23,8551.380733454378,0,1,1,0
2025-04-24,8617.637747724655,0,1,1,0
2025-04-25,9044.29276385902,0,1,1,0
2025-04-26,8905.755370384803,0,1,1,0
2025-04-27,8924.829359341398,0,1,1,0
2025-04-28,9140.666602797608,0,1,1,0
2025-04-29,9077.42127099416,0,1,1,0
2025-04-30,9009.156468412662,0,1,1,0
2025-05-01,8939.887771675552,0,1,1,0
2025-05-02,8935.87219505311,0,1,1,0
2025-05-03,8727.062210686176,0,1,1,0
2025-05-04,8701.96485679592,0,1,1,0
2025-05-05,8756.175141198873,0,1,1,0
2025-05-06,8757.179035354484,0,1,1,0
2025-05-07,8758.182929510094,0,1,1,0
