date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,avg_divergence_long,avg_divergence_short,daily_return,cumulative_max,drawdown
2024-03-29,6444.565321185447,2,2,0.5,0.5,0.0,1.0,1.6448585081861429,-3.949667398819071,0.043552628990935816,14490.821841210956,-0.5552657128902433
2024-03-30,6858.859308530186,2,2,0.5,0.5,0.0,1.0,1.688471772818199,-3.08762372463195,0.06428579224464004,14490.821841210956,-0.5266756169050374
2024-03-31,6584.122194198658,2,2,0.5,0.5,0.0,1.0,1.553285536440287,-1.3616524315364325,-0.04005580257198815,14490.821841210956,-0.5456350049467973
2024-04-01,6475.0120790622905,2,2,0.5,0.5,0.0,1.0,1.2257728400393104,-1.5657209121855713,-0.016571702638281116,14490.821841210956,-0.5531646065340631
2024-04-02,6490.220032381833,2,2,0.5,0.5,0.0,1.0,0.8605773499822913,-1.29946357947329,0.002348714277880637,14490.821841210956,-0.5521151178655672
2024-04-03,6487.570325395415,2,2,0.5,0.5,0.0,1.0,0.8693913942571154,-1.6427211031951203,-0.0004082615031844039,14490.821841210956,-0.552297972020801
2024-04-04,6521.397166589262,2,2,0.5,0.5,0.0,1.0,0.9958640142749762,-1.9238301607778476,0.005214100117178377,14490.821841210956,-0.5499636088242537
2024-04-05,6568.376115333199,2,2,0.5,0.5,0.0,1.0,0.5074382321936944,-1.2302013177606712,0.007203816535606977,14490.821841210956,-0.5467216292278769
2024-04-06,6027.610421534129,2,2,0.5,0.5,0.0,1.0,0.41599746452958647,-1.7817274499324953,-0.08232867367882724,14490.821841210956,-0.5840394363008455
2024-04-07,6016.16463263561,2,2,0.5,0.5,0.0,1.0,-0.42445616364174976,-2.7804836264538286,-0.0018988932757876276,14490.821841210956,-0.5848293010182467
2024-04-08,5917.231746614827,2,2,0.5,0.5,0.0,1.0,-0.46561406221096535,-2.1246932131187903,-0.01644451109002354,14490.821841210956,-0.5916565801819049
2024-04-09,6003.429329094033,1,1,0.5,0.5,0.0,1.0,0.42803283406929904,-3.1884858732527346,0.014567214226233194,14490.821841210956,-0.5857081541075421
2024-04-10,5788.407371828834,1,1,0.5,0.5,0.0,1.0,0.40823414887215653,-2.196794089458659,-0.035816521770840604,14490.821841210956,-0.6005466470254309
2024-04-11,5266.547212011047,1,1,0.5,0.5,0.0,1.0,0.3887388040277267,-2.013070031333685,-0.09015608720933999,14490.821841210956,-0.6365597983522696
2024-04-12,4852.972004043896,1,1,0.5,0.5,0.0,1.0,0.6850014714215097,-1.5747579591285974,-0.07852871935220462,14490.821841210956,-0.6651002919487728
2024-04-13,4856.684550522826,1,1,0.5,0.5,0.0,1.0,0.7478992171776709,-1.7447717573226884,0.0007650047178999753,14490.821841210956,-0.6648440920920903
2024-04-14,4817.684042759632,1,1,0.5,0.5,0.0,1.0,0.5824050275279624,2.020613202991114,-0.008030274018722472,14490.821841210956,-0.6675354858715844
2024-04-15,4939.008299171014,1,1,0.5,0.5,0.0,1.0,0.49495325888335434,2.088669259814105,0.025183107761854506,14490.821841210956,-0.659162996185296
2024-04-16,4785.274864671168,1,1,0.5,0.5,0.0,1.0,1.3261706457077929,-0.39597385437665894,-0.03112637703517318,14490.821841210956,-0.6697720172735713
2024-04-17,4864.748363795842,1,1,0.5,0.5,0.0,1.0,1.2146187599018818,-0.37974122165007473,0.016607927730842187,14490.821841210956,-0.6642876148017489
2024-04-18,4787.460289380445,1,1,0.5,0.5,0.0,1.0,-1.5066342066018261,-0.2920368566728588,-0.01588737353623182,14490.821841210956,-0.669621202866133
2024-04-19,4688.188678362305,1,1,0.5,0.5,0.0,1.0,-1.0134212293059095,-0.39157043472313846,-0.02073575654263793,14490.821841210956,-0.6764718571703504
2024-04-20,4609.374360891693,1,1,0.5,0.5,0.0,1.0,-1.0965865079653399,-0.30265533445395526,-0.016811251184144727,14490.821841210956,-0.6819107700445995
